# Four-tile direct derivation wait report

allFourTileShapes: 66045
enumeratedDerivations: 5100
tenpaiReports: 3756

## Reducibility

### Reducible
count: 1647
waitCoreCacheHits: 1802
waitCoreCacheMisses: 34
waitCoreCacheEntries: 34

### Irreducible
count: 2109

#### Groups by waitDecompositionCodes
groupCount: 11
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
234s4z	4z	reducible	[26]	24
1p888s	1p	reducible	[34]	30
2555m	2m	reducible	[34]	30
33p55z	3p5z	irreducible	[9, 9]	7137
99s44z	9s4z	irreducible	[9, 9]	7137
56p44s	47p	irreducible	[15, 15]	11895
68p55s	7p	irreducible	[21]	20
78s55z	69s	irreducible	[15, 15]	11895
999m6p	6p	reducible	[34]	30
79m99p	8m	irreducible	[21]	20
7p555s	7p	reducible	[34]	30
67m22s	58m	irreducible	[15, 15]	11895
1345s	1s	reducible	[26]	24
24m22s	3m	irreducible	[21]	20
9m999p	9m	reducible	[34]	30
22m68p	7p	irreducible	[21]	20
78s77z	69s	irreducible	[15, 15]	11895
79s33z	8s	irreducible	[21]	20
234m8p	8p	reducible	[26]	24
222p4z	4z	reducible	[34]	30
8p444s	8p	reducible	[34]	30
2226m	6m	reducible	[34]	30
4666s	45s	irreducible	[21, 34]	23780
89m77z	7m	irreducible	[33]	29
3m111z	3m	reducible	[34]	30
78s66z	69s	irreducible	[15, 15]	11895
345p8s	8s	reducible	[26]	24
777p6s	6s	reducible	[34]	30
888p1z	1z	reducible	[34]	30
89m66z	7m	irreducible	[33]	29
444m3s	3s	reducible	[34]	30
234m9s	9s	reducible	[26]	24
34p55z	25p	irreducible	[15, 15]	11895
3388s	38s	irreducible	[9, 9]	7137
11p55z	1p5z	irreducible	[9, 9]	7137
56m88s	47m	irreducible	[15, 15]	11895
77m89s	7s	irreducible	[33]	29
77p22s	7p2s	irreducible	[9, 9]	7137
555p6s	6s	reducible	[34]	30
44m68s	7s	irreducible	[21]	20
45m99p	36m	irreducible	[15, 15]	11895
1366m	2m	irreducible	[21]	20
1344m	2m	irreducible	[21]	20
6s666z	6s	reducible	[34]	30
1p222s	1p	reducible	[34]	30
67p22s	58p	irreducible	[15, 15]	11895
23p99s	14p	irreducible	[15, 15]	11895
11m33s	1m3s	irreducible	[9, 9]	7137
1678p	1p	reducible	[26]	24
4478m	69m	irreducible	[15, 15]	11895
45p55s	36p	irreducible	[15, 15]	11895
88m11p	8m1p	irreducible	[9, 9]	7137
55m78s	69s	irreducible	[15, 15]	11895
1199m	19m	irreducible	[9, 9]	7137
4588p	36p	irreducible	[15, 15]	11895
57p11z	6p	irreducible	[21]	20
1p333s	1p	reducible	[34]	30
1122p	12p	irreducible	[9, 9]	7137
22m44s	2m4s	irreducible	[9, 9]	7137
68m11z	7m	irreducible	[21]	20
55p33s	5p3s	irreducible	[9, 9]	7137
678m2z	2z	reducible	[26]	24
6778m	7m	irreducible	[21, 26]	19028
678m8p	8p	reducible	[26]	24
44m55z	4m5z	irreducible	[9, 9]	7137
2456s	2s	reducible	[26]	24
89p22s	7p	irreducible	[33]	29
99p24s	3s	irreducible	[21]	20
68m88p	7m	irreducible	[21]	20
6s555z	6s	reducible	[34]	30
1237s	7s	reducible	[26]	24
2p555z	2p	reducible	[34]	30
7m444s	7m	reducible	[34]	30
77p66s	7p6s	irreducible	[9, 9]	7137
22p46s	5s	irreducible	[21]	20
78m22s	69m	irreducible	[15, 15]	11895
2233s	23s	irreducible	[9, 9]	7137
3444z	3z	reducible	[34]	30
79m55p	8m	irreducible	[21]	20
789m7p	7p	reducible	[26]	24
5m123s	5m	reducible	[26]	24
678s1z	1z	reducible	[26]	24
9m123p	9m	reducible	[26]	24
66p89s	7s	irreducible	[33]	29
99m99s	9m9s	irreducible	[9, 9]	7137
1244s	3s	irreducible	[33]	29
