# Thirteen-tile direct derivation wait report

generationWorkers: 16
classificationWorkers: 8
bucketCount: 256
generationReused: false

allThirteenTileShapes: 98521596000
enumeratedDerivations: 93251547
tenpaiReports: 54747045

## Reducibility

### Reducible
count: 54707433
waitCoreCacheHits: 59314756
waitCoreCacheMisses: 7282138
waitCoreCacheEntries: 7282138

### Irreducible
count: 39612

#### Groups by waitDecompositionCodes
groupCount: 708
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[25857, 25857, 43095, 43095, 56355, 56355, 56355, 97682]	140710466549784575918048	12	1112345666677s	14578s
[32955, 32955, 43095, 43095, 46137, 60333, 60333, 72501, 74698]	109124045619961723611280259	6	1233445556777s	2356s
[25857, 56355, 56355, 127738, 127738]	290346678106664	12	1222233334555p	1456p
[32955, 32955, 46137, 46137, 72501]	276146333150531	168	34556677889p22z	47p
[33813, 33813, 46137, 162129]	372018866318	102	22233444m12333p	3m3p
[19773, 19773, 19773, 19773, 43095, 43095, 43095, 43095, 44217, 44217]	81147807209983993086249656573	15	3344455566677m	3467m
[19773, 43095, 43095, 60333, 60333, 97682]	224325336516883061	12	2333444456678s	1237s
[32955, 32955, 32955, 46137, 46137, 74698, 74698, 74698, 94809]	111291988660022113573439939	6	1233456777789m	235689m
[33813, 33813, 43095, 43095, 43095, 46137, 72501, 74698]	137782879328740883401934	6	1112223344567m	23458m
[43095, 43095, 97682, 97682, 97682]	283255476130306	6	3456777788889s	23569s
[78897, 78897, 127738]	462855012	24	2223455557999s	678s
[19773, 43095, 43095, 43095, 56355, 56355, 94809, 97682]	140719104667814536108661	6	1234445566667s	34578s
[33813, 33813, 73695, 73695, 78897, 78897, 127738]	182114991550230601742	24	1112222344666p	1345p
[25857, 25857, 32955, 32955, 46137, 57122, 57122]	169026916976468845088	12	2233444566778m	12347m
[43095, 56355, 56355, 97682, 123981]	289944275705434	6	4455556666789p	347p
[46137, 46137, 57122, 57122, 72501]	276155784161009	6	3445566777889s	47s
[25857, 32955, 56355, 57122, 78897, 127738]	229943159213647784	12	5666777788889m	456m
[19773, 19773, 43095, 43095, 43095, 56355, 56355, 60333, 97682, 97682]	88268183867635132948472126525	18	3334445667788m	345689m
[43095, 43095, 60333, 60333, 78897, 97682]	224333992657211842	24	4445667789999p	568p
[46137, 72501]	555857	90	1122334467889s	7s
[25857, 32955, 57122]	429552104	6	5566667777889p	59p
[43095, 43095, 94809]	450897346	72	44456777m56789p	47p
[25857, 56355, 56355, 56355, 56355, 78897, 127738]	182114981703779087912	18	4444566667888m	35789m
[46137, 56355, 56355, 57122, 78897]	278910004427873	12	2233344456778s	679s
[32955, 32955, 32955]	398816195	108	22334455m45678s	369s
[43095, 43095, 43095, 60333, 60333, 97682, 97682, 97682]	140719362690716215112386	24	2344445677778m	235689m
[32955, 32955, 43095, 43095, 46137, 46137, 60333, 74698, 74698]	109124632018230242952672131	84	2344566778999p	14578p
[32955, 32955, 32955, 33813, 33813, 74698, 103173]	179152077026594482115	18	4555677788899m	34569m
[32955, 32955, 32955, 43095, 43095, 43095, 46137, 74698, 74698]	109124626833175327804415939	18	3444455566778m	235689m
[56355, 56355, 60333, 78897, 94809, 97682]	224337938187936563	12	6666778889999s	578s
[25857, 25857, 43095, 43095, 56355, 56355, 60333, 94809, 97682, 97682]	88268190123360220082116673504	6	2223455678999p	24578p
[32955, 32955, 43095, 43095, 46137, 46137, 72501, 74698, 74698, 74698]	86426712085752151863908168579	6	3455556677889s	34679s
[32955, 32955, 46137, 57122, 72501, 78897]	220903412814491459	6	1122233344566s	356s
[25857, 25857, 32955, 32955, 57122, 78897, 123981, 127738]	144241983794697078477344	6	1222333444456p	1237p
[56355, 56355, 78897]	444644531	42	6666777789999m	58m
[25857, 25857, 32955, 32955, 46137, 56355, 56355, 57122, 123981]	114074669774419082353893920	6	2223344456789p	23457p
[25857, 32955, 46137, 56355, 56355, 78897]	220896330035435816	18	4444555666678s	3579s
[25857, 43095, 43095, 43095, 56355, 97682]	224324142226299536	36	4555566777788m	3689m
[32955, 32955, 43095, 43095, 60333, 72501, 74698, 74698]	137783630968209724490627	18	1111223334455p	2356p
[32955, 32955, 43095, 43095, 43095, 46137, 60333, 74698]	137779177278156614763395	36	2222333445678p	13469p
[43095, 43095, 43095, 60333, 60333, 97682]	224325336516883138	18	2224555667788p	3469p
[25857, 25857, 32955, 32955, 46137, 56355, 56355, 57122, 72501]	108656289306474158171939360	6	1223344455666p	13456p
[25857, 33813, 33813, 46137, 56355, 56355, 56355, 73695, 73695, 127738]	90472693986696767809426221488	24	4445666677888p	45789p
[25857, 25857, 32955, 32955, 56355, 56355, 57122, 57122, 57122, 78897, 123981, 127738, 127738]	44948827137930173794792033949040247328	6	1234555666777m	134567m
[43095, 43095, 60333, 94809, 97682, 97682]	224338336615973314	18	1234444555567p	1367p
[32955, 32955, 32955, 60333, 72501, 74698, 74698, 74698]	137783631908986780809155	30	1112345677889s	235689s
[43095, 43095, 43095]	413261506	108	66678999p45678s	369s
[32955, 32955, 46137, 46137, 60333, 72501, 74698, 74698, 74698]	109124636471917545323461955	6	3455667788889m	34679m
[25857, 43095, 43095, 56355, 56355, 60333, 97682]	177665665353410896016	6	2344445677888s	1679s
[19773, 19773, 43095, 43095, 60333, 74698, 74698]	173969225104654670909	30	2223455677889m	258m
[43095, 43095, 43095, 60333, 78897, 97682, 97682]	177675958665249608386	30	4555566778888s	34679s
[19773, 33813, 33813, 43095, 43095]	259224053260181	18	4455666678999m	3459m
[46137, 74698]	558233	6	1345666778899p	12p
[25857, 25857, 46137, 57122, 57122, 72501]	218715381055474592	6	1122333455667m	1236m
[25857, 25857, 56355, 56355, 78897, 78897, 127738]	182114991540282170912	12	2223457888999m	6789m
[25857, 25857, 46137, 56355, 56355, 78897]	220896330035414432	12	3455567778999m	2567m
[46137, 74698, 94809]	450933785	6	2233445557789m	67m
[19773, 43095, 60333, 60333, 97682]	283239061258613	6	1222333345567s	126s
[43095, 43095, 46137, 60333, 72501, 74698, 74698]	173969231020471214722	6	2344566788889s	3679s
[32955, 32955, 46137, 57122, 57122, 57122]	213417833923125059	84	2334455677889p	258p
[60333, 97682, 97682]	451572950	18	1234666678999m	145m
[19773, 43095, 43095, 43095, 43095, 43095, 60333, 78897, 97682, 97682]	88268188168669711241284897397	12	3334555566778p	2346789p
[19773, 94809]	569237	162	67777889m12333p	3p
[33813, 33813, 60333, 73695, 73695, 74698]	219657727508781518	24	4455566678888m	4569m
[32955, 32955, 32955, 43095, 43095, 46137, 74698, 74698, 74698]	109124636460688189839728579	12	3344556777789p	235689p
[43095, 43095, 60333, 78897, 94809, 97682]	224337938187916738	18	3334556666789p	457p
[43095, 43095, 60333, 97682, 97682]	283255455430594	24	3444456666789m	2359m
[32955, 32955, 46137, 46137, 60333, 60333, 72501, 74698, 74698]	109124635726833122176466243	6	1223344556777m	2356m
[43095, 43095, 43095, 46137, 60333, 72501, 74698]	173968290246873629890	24	1112234567789m	2358m
[43095, 56355, 56355, 94809, 97682, 97682]	224338336614111322	6	1234455556666s	1347s
[43095, 43095, 43095, 78897, 97682]	283249973143234	60	3445567777888p	3469p
[32955, 32955, 57122]	429552131	18	4556666777889m	39m
[32955, 32955, 46137, 72501]	348669588803	6	3345566778899m	47m
[43095, 43095, 43095, 60333, 97682, 123981]	229635867833402050	12	3456667789999m	2578m
[43095, 43095, 43095, 97682, 97682, 97682]	224338337095203010	6	2345666677778s	124589s
[32955, 32955, 33813, 33813, 43095, 43095, 46137, 72501, 73695, 73695, 74698, 74698, 103173, 167042]	36177644429955848813954888714316678323843	6	5666777888999p	45678p
[60333, 60333, 97682]	451546814	12	2233445557999p	678p
[19773, 33813, 33813, 43095, 73695, 73695, 74698]	173968920173044756373	24	4445566677778m	4569m
[33813, 33813, 43095, 43095, 46137, 60333, 72501, 73695, 73695, 74698]	86426557079419912331215273166	6	4566677888999m	35678m
[43095, 43095, 60333, 60333, 60333, 78897, 97682, 97682]	140719359262891617612226	12	2224566778999m	34578m
[32955, 32955, 46137, 60333, 72501, 74698]	219656932129872707	6	1122334444556m	356m
[33813, 33813, 72501, 162129]	372041447822	30	77789p77888999s	7p7s
[33813, 33813, 43095, 46137]	330780649166	12	1122333345555s	1246s
[25857, 25857, 46137]	417612704	24	4455556677899m	489m
[32955, 32955, 46137, 46137, 57122, 57122]	213417824484056387	54	2334455666778s	369s
[43095, 43095, 46137, 74698, 74698]	277346088476290	12	1112346677889p	569p
[43095, 43095, 46137, 60333, 74698]	277337146200706	6	1123345678999p	124p
[32955, 32955, 46137, 60333, 72501]	276156765805379	6	2234455566789s	347s
[19773, 43095, 43095, 43095, 43095, 60333, 94809, 97682, 97682]	111449735004232853200915061	6	1234445666678s	345789s
[32955, 32955, 32955, 46137, 57122, 72501]	218715371597609411	24	1234556677899m	369m
[32955, 32955, 33813, 33813, 33813, 46137, 73695, 73695]	137587904656756917640835	6	5556777788899p	5689p
[32955, 32955, 32955, 46137, 60333, 72501, 74698, 74698]	137783630968213187615171	12	2333344556789s	12457s
[32955, 32955]	503555	6	2345667777889p	14p
