# Ten-tile direct derivation wait report

allTenTileShapes: 1900269316
enumeratedDerivations: 5536779
tenpaiReports: 3431439

## Reducibility

### Reducible
count: 3416313
waitCoreCacheHits: 3701891
waitCoreCacheMisses: 295762
waitCoreCacheEntries: 295762

### Irreducible
count: 15126

#### Groups by waitDecompositionCodes
groupCount: 199
waitDecompositionCodes	waitDecompositionCodesKey	count	representativeTiles	representativeWaits
[2535, 2535, 3315, 3315, 3315, 3549, 5746]	107229977825634348240	24	4555566678s	34679s
[1521, 1521, 1521, 1521]	137785657165	15	1122334455s	1245s
[2535, 2535, 3315, 3315, 4641, 5577, 5746]	107247133080574819536	12	5566667789m	4578m
[4641, 4641, 7514, 7514]	232295628721	6	2224567999s	3478s
[1521, 3315, 3315, 4641, 7514]	183949298197909	18	2344445556s	1567s
[5746, 5746]	344162	9	2345555678p	28p
[2535]	336	6	5667777889p	4p
[1989, 1989, 2535, 2535, 2535, 4394]	126027019234413307	18	2223344567m	23458m
[2535, 2535, 2535, 5577, 5746, 5746, 5746]	107248077809614507728	12	1234567888p	134679p
[3315, 3315, 7514, 7514]	232295596208	12	4555566667m	3478m
[1989, 1989, 2535, 2535, 4394, 5577]	134467525850843899	6	1234455666p	3456p
[1989, 1989, 2535, 9537]	248110755067	6	1222233344m	345m
[1989, 1989, 5577]	270594235	6	1122345666s	123s
[1521, 3315, 3315, 6069, 7514]	183966685955989	6	1223333444m	124m
[2535, 2535, 3315, 3315, 5746, 7293]	144762819417279696	6	4455556789m	3467m
[1989, 1989, 1989, 4335, 4335, 6069, 9537, 9826]	98443833637847304799675	6	1112333444m	1234m
[1521, 1521, 3315, 3315, 3315, 3315, 7293, 7514]	91398314072693138142733	6	4445666789m	34567m
[4641, 4641, 7293, 7514, 7514]	183978172446961	6	4446788889m	5679m
[3549, 5746, 7293]	291394600	6	1233567888p	34p
[1521, 1521, 3315, 3315, 4641, 7293, 7514]	115401927839810962957	6	1222345666m	1236m
[4394, 4394, 4394, 5577]	214371555956	6	1234567789m	147m
[3549, 5746, 5746, 5746]	215880776872	6	1113456789m	2369m
[3549, 5746, 5746]	272576680	6	1234678999m	145m
[3315, 3315, 3315, 3549, 5577, 5746]	135413030424735728	6	1112234567m	2358m
[1989, 1989, 2535, 2535, 3549, 4394, 9537]	123280925527642737403	6	1233344555m	2345m
[2535, 2535, 3549, 4641, 5577, 5746]	135413046823900368	6	1234556777p	356p
[1989, 1989, 2535, 2535, 4394, 4394, 6069, 9537, 9826]	77967516241799107585886971	6	6667778889s	6789s
[1521, 1521, 3315, 3315, 3315, 3315, 3315, 7293, 7514, 7514]	57331355276059328326450165261	6	1112345666s	1234567s
[2535, 2535, 3549, 5577, 5746, 5746, 5746]	107248077809639598288	6	3455556789s	34679s
[1989, 1989, 4335, 4335, 9537]	196536565947259	6	1112222333m	134m
[1989, 1989, 4394, 4394, 5577]	169782272240635	6	1122333456m	1236m
[1521, 1521, 3315, 3315, 4641, 4641, 7514, 9537]	97654051942559346279949	6	1233444555s	2345s
[6069, 9537]	395652	6	6668888999m	7m

## Wait tile count distribution
1 wait tile kinds: 1767387
2 wait tile kinds: 1533417
3 wait tile kinds: 118323
4 wait tile kinds: 10236
5 wait tile kinds: 1974
6 wait tile kinds: 90
7 wait tile kinds: 6
8 wait tile kinds: 6
9 wait tile kinds: 0
10 wait tile kinds: 0
11 wait tile kinds: 0
12 wait tile kinds: 0
13 wait tile kinds: 0
14 wait tile kinds: 0
15 wait tile kinds: 0
16 wait tile kinds: 0
17 wait tile kinds: 0
18 wait tile kinds: 0
19 wait tile kinds: 0
20 wait tile kinds: 0
21 wait tile kinds: 0
22 wait tile kinds: 0
23 wait tile kinds: 0
24 wait tile kinds: 0
25 wait tile kinds: 0
26 wait tile kinds: 0
27 wait tile kinds: 0
28 wait tile kinds: 0
29 wait tile kinds: 0
30 wait tile kinds: 0
31 wait tile kinds: 0
32 wait tile kinds: 0
33 wait tile kinds: 0
34 wait tile kinds: 0

calculationElapsedMs: 0
